pose,energy,deltae,grms,bonds,angles,ureyb,dihedrals,impropers,vdwaals,elec,hbonds,asp,user,grvdw,grelec
initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-43.00363251359523,43.00363251359523,1.3243585876395114,0.00018010135164847618,1.5134850015474655e-05,-8.28608844985479e-06,-1.0344707376930273e-05,5.252726682393807e-06,-0.00014780482586118637,-9.486982186501791e-07,0.0,0.0,0.0,5.560167847919486,-48.56383346612315
2,-42.34037184982691,-0.6632606637683196,2.5425531840038507,7.301084339328412e-05,2.2254536742760678e-05,-1.2518146756262949e-06,1.2406291175715012e-05,-2.62188628997323e-06,-7.520359643464758e-05,-1.2412833468644635e-05,0.0,0.0,0.0,9.6860213973499,-52.02640942871725
3,-42.26835616342982,-0.07201568639708711,1.3413022807353245,1.6705544434003627e-05,3.1319936403928494e-05,7.749452737015883e-07,4.1531383905279995e-06,-2.1875918917394627e-06,1.6330529639674296e-06,-1.7237421376492534e-05,0.0,0.0,0.0,2.301406462949556,-44.569797787983575
4,-41.94497833233869,-0.32337783109112905,2.1901948428331997,-3.241177256829708e-05,1.6369029649965228e-05,9.76354906812027e-06,-8.446240532755667e-06,5.841575558133624e-06,3.643603342950996e-05,-1.5777364309244035e-05,0.0,0.0,0.0,-5.745652112140129,-36.199337995008854
5,-41.919286472594244,-0.02569185974444821,1.692677287510847,-0.00012940153556573186,4.464309106833042e-06,6.38359633448049e-06,-2.669990986525761e-06,2.8986968871351146e-06,0.00012939927639443738,-1.3572088050750608e-05,0.0,0.0,0.0,-0.11707145750159603,-41.802212517356764
6,-41.88653431724804,-0.032752155346202017,1.487220873436724,1.2194874777105014e-05,1.9492416036825944e-07,-4.390555351396763e-06,6.0527887306705e-06,8.487535278290173e-07,-2.3275232477359964e-05,9.447626503344964e-07,0.0,0.0,0.0,5.373782869506832,-47.260309757070885
7,-41.87826151893595,-0.008272798312091822,1.7836460142046495,-8.792049574779526e-05,-1.1037082785492203e-05,2.7167664039678963e-06,2.9380603514539416e-06,-5.911544446986564e-07,8.999849197799392e-05,-4.414006609110288e-06,0.0,0.0,0.0,-1.3446549031132027,-40.53359830640189
8,-41.81807068279831,-0.06019083613764309,1.2347288560435845,0.00015098512130284902,-9.083321178771087e-06,-1.1995612268972389e-05,-1.4390902669525474e-05,3.1335487495577283e-06,-0.00015685019909561504,2.820754401078318e-05,0.0,0.0,0.0,-1.069372846496431,-40.74868784248072
9,-41.748509464339364,-0.06956121845894003,1.26266401350337,-9.407501573055477e-05,5.322678227059896e-07,1.309819535474932e-05,-6.9626236669506625e-06,2.6200211278130936e-06,7.663967259396998e-05,-8.248155191736828e-06,0.0,0.0,0.0,-0.4572628146494002,-41.29123025405227
10,-41.7374494903598,-0.011059973979566706,1.4893216415718986,7.433391005196022e-05,-2.4936955414389672e-05,-2.184043928293855e-06,-7.53609294079638e-07,-2.1790143755334723e-08,-3.834710898509286e-05,1.066312896114141e-05,0.0,0.0,0.0,0.5229103153394714,-42.26037855923052
11,-41.58658179383305,-0.15086769652675258,2.1325325468444403,-1.6936255184063498e-05,1.018204987301985e-05,-3.913453761120178e-06,3.321563911029557e-06,-1.6046491397945367e-06,-1.6137443919816974e-05,1.45897305845466e-05,0.0,0.0,0.0,-6.331055816110385,-35.25551547926502
12,-41.452257804765026,-0.13432398906802234,2.092460440669591,1.1640302927107271e-05,-2.5246771497844378e-05,3.1813092368770945e-06,5.992438227409025e-06,-4.663526100185354e-06,-9.599921579450665e-06,1.4701769876168669e-05,0.0,0.0,0.0,1.9095221448723947,-43.36177595523851
13,-41.24992529979283,-0.20233250497219757,1.7148487712238536,-0.0001499023019400081,-2.0329104645000484e-05,1.1656213610516941e-05,4.3116619492522545e-06,-1.248077762404723e-06,0.00015437629664205588,-1.9412128295925868e-05,0.0,0.0,0.0,-1.114333045028584,-40.1355717073238
14,-41.224453724110276,-0.025471575682551872,2.630473452281951,-0.0001121799862946471,4.422670841330856e-05,7.650236758693918e-06,-1.116252273725138e-06,-3.4363716817850665e-06,6.935752615966351e-05,-8.689735919276131e-06,0.0,0.0,0.0,8.731755940940152,-49.95620547717559
15,-41.14167256179883,-0.0827811623114485,1.4509614205457755,-0.00012647538025278848,2.665708317772797e-05,5.051858884885796e-06,-7.840433404737723e-07,-3.7039438517145334e-06,7.976861150460479e-05,6.070943108227311e-06,0.0,0.0,0.0,-0.9031646274393437,-40.23849451948871
16,-40.991532713075976,-0.15013984872285135,1.9130220848356911,0.00017680685317666978,-1.3666812230805903e-05,-1.7982962229962096e-05,-2.8729099739166486e-06,1.3629167802623604e-06,-0.00015498560810733863,2.1760752169086572e-05,0.0,0.0,0.0,2.6818629990213605,-43.67340613432692
17,-40.58744888423762,-0.40408382883835614,1.827531449425897,0.00014178734452641173,-1.6593532890851748e-05,-1.1682778780386371e-05,1.507506798503755e-06,5.739566973674004e-07,-6.712255454743854e-05,-3.4660683816412075e-06,0.0,0.0,0.0,-4.640194257538026,-35.94729963057301
18,-40.74588016621484,0.15843128197721867,1.2508849948375156,-0.00016875508265146166,2.543316980130328e-05,1.2160472777356102e-05,-1.0150529554664445e-06,-3.727827164826461e-06,0.00015561404972785908,-1.6163561763704593e-05,0.0,0.0,0.0,-1.4766947566128314,-39.26918895576978
19,-40.49193099992657,-0.25394916628826536,1.521260880486933,-7.288121856241503e-06,-6.224047811187461e-05,7.375821676203209e-07,-5.761214119104352e-06,-3.230641936142163e-06,0.00010129279244175393,-2.34642898160331e-05,0.0,0.0,0.0,-3.656540830468208,-36.83539021508713
20,-40.470011649866045,-0.021919350060525034,2.198484274314431,4.875296895368031e-05,2.8902939964048358e-05,-9.208662421891778e-06,-2.458311641362343e-06,2.1875448222349186e-06,-9.557912045821126e-05,1.823325913008489e-05,0.0,0.0,0.0,1.0935421973789676,-41.56354467786336
21,-40.39101296698672,-0.07899868287932321,2.037729766373279,0.00012614603805105595,-1.5553969984427596e-05,-8.611956552800892e-06,5.336889777218801e-06,-3.12904096480722e-06,-0.00010886990452441125,-9.306945454312654e-07,0.0,0.0,0.0,2.5609696317113118,-42.95197698605929
22,-40.3909035863366,-0.00010938065012311426,1.7133462478234232,-9.953733285761324e-05,3.9395192130697865e-07,-3.54543472039226e-06,-1.802682371376818e-06,1.7650669084509282e-06,6.907352139506884e-05,8.521130208549721e-06,0.0,0.0,0.0,1.3920519156821536,-41.782930370239235
23,-40.268520104185114,-0.12238348215148775,1.7546561340682847,-0.0001544809086222454,3.0790194593066644e-05,1.3795495533805435e-05,-1.7030405299323093e-06,5.524390427830497e-07,0.00010405376329103433,-1.5229692724716415e-05,0.0,0.0,0.0,13.29783090804839,-53.566328790484086
24,-40.203536306410456,-0.06498379777465857,1.749714735772042,9.927916510887869e-06,-1.008210030883916e-05,2.534738514303747e-06,-7.695725089185146e-06,3.035364125154698e-06,-1.1156581347648853e-06,-5.869764539312428e-06,0.0,0.0,0.0,-1.557380026113833,-38.6461470150677
25,-40.1115939813861,-0.09194232502435185,1.701545046424139,-1.3069063695470007e-05,-1.5437875410473367e-05,-7.104963204412895e-06,8.781893402698415e-06,1.6714521409149502e-06,2.1906648139946583e-06,1.6295363083784764e-05,0.0,0.0,0.0,-0.16384064751724087,-39.94774666133999
26,-34.02620423457932,-6.085389746806786,2.91587155675112,0.00011992405951755103,-4.0107548249235236e-05,-3.0821954107029814e-06,-6.022520827819733e-06,-5.42895232734375e-07,-6.083316344529521e-05,1.7205998759095564e-06,0.0,0.0,0.0,-6.3147449813390635,-27.71147030957648
27,-40.0231489481816,5.996944713602282,1.765055601635272,7.116176746757574e-06,-2.1694976023667323e-05,-3.4791252745552947e-06,4.84008626511212e-06,7.143013581317748e-08,5.2034529625544224e-05,-9.093954238537094e-06,0.0,0.0,0.0,1.0177874926815942,-41.040966235030425
28,-40.00318727473852,-0.019961673443077643,1.0613286352603248,7.185266924825129e-05,5.6766693603549356e-05,-8.712167031577067e-06,-5.6286355194501425e-06,2.714989888966818e-07,-0.00011653632637909084,1.396818136711886e-05,0.0,0.0,0.0,-2.137766118137599,-37.8654331385152
29,-39.925951912940334,-0.0772353617981878,2.392794247936328,-4.115592340525609e-05,1.614890294820981e-05,9.1194998299432e-06,1.3530379649573376e-05,-2.8302596272594682e-06,2.2904290156944285e-05,-1.1463490862340109e-05,0.0,0.0,0.0,5.971786163038297,-45.89774432937732
